name,requirement,description,company
AI产品实习生-开发者AI,"1、2026届本科及以上学历在读，计算机、软件工程等相关专业优先；
2、了解基础的AI技术，例如NLP、机器学习、LLM 的大致原理；
3、具备良好的英语读写能力，能够阅读和理解产品、技术文档和学术论文；
4、具备良好的责任心和逻辑思维，有创新意识和意愿，有良好的分析能力，愿意独立思考；
5、有责任感，有跨团队协作能力，以用户价值为先，做热爱用户的产品经理，做用户喜爱的产品。","ByteIntern：面向2026届毕业生（2025年9月-2026年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：字节跳动开发者AI团队致力于探索AI技术在研发体系上应用和落地，覆盖场景包括AI for Code、AI在DevOps全流程中的落地，团队包括产品、工程、算法和研究人员多个角色，期待对大模型、研发工具体系有兴趣、对技术有追求的同学加入，共同成长！

1、建设字节跳动豆包Marscode等AI编程产品，包括用户调研、行业分析、产品设计、用户体验设计、用户运营等；
2、充分传递产品价值，理解客户需求，并落实有效需求到产品中，持续跟进产品的关键数据指标和用户反馈，持续迭代优化产品；
3、和业界AI人才一起交流创意，制定和实施领先的产品方案。",bytedance
AI大模型产品经理实习生-飞书办公套件,"1、2026届硕士及以上学位在读，计算机、软件工程等相关专业优先；
2、对AIGC、大语言模型技术与应用充满热情，对AI产品有优秀的理解能力；
3、具备优秀的逻辑思维能力和产品意识，有团队协作精神；
4、注重用户体验，对产品设计和用户交互有一定认识；
5、具备较好的技术基础，熟悉深度学习/语言模型等AI相关知识、Python等编程语言优先；
6、积极主动，勇于学习和尝试新事物，有产品经理实习或项目经验者优先。","ByteIntern：面向2026届毕业生(2025年9月-2026年8月期间毕业)，为符合岗位要求的同学提供转正机会。
团队介绍：飞书是字节跳动旗下先进企业协作与管理平台，围绕目标、信息与人三个维度全方位助力组织升级。一站式整合即时沟通、日历、音视频会议、文档、云盘等办公协作套件，让组织和个人工作更高效更愉悦。飞书目前已服务包括互联网、信息技术、制造、建筑地产、教育、媒体在内等众多领域的先进企业。

1、参与飞书AI相关的产品规划和设计，结合用户需求与AI技术提出创新方案；
2、推动AI技术在飞书各业务场景和功能模块中的实际应用，提升产品竞争力；
3、参与用户需求调研和数据分析，撰写需求，与研发、设计团队合作推进产品落地；
4、参与飞书内大语言模型驱动的AI智能伙伴的数据评估体系、评测集设计和研发；
5、参与产品效果评估，关注用户反馈和行业进展，推动产品迭代。",bytedance
AI大模型产品经理实习生-飞书办公套件,"1、2026届硕士及以上学位在读，计算机、软件工程等相关专业优先；
2、对AIGC、大语言模型技术与应用充满热情，对AI产品有优秀的理解能力；
3、具备优秀的逻辑思维能力和产品意识，有团队协作精神；
4、注重用户体验，对产品设计和用户交互有一定认识；
5、具备较好的技术基础，熟悉深度学习/语言模型等AI相关知识、Python等编程语言优先；
6、积极主动，勇于学习和尝试新事物，有产品经理实习或项目经验者优先。","ByteIntern：面向2026届毕业生(2025年9月-2026年8月期间毕业)，为符合岗位要求的同学提供转正机会。
团队介绍：飞书是字节跳动旗下先进企业协作与管理平台，围绕目标、信息与人三个维度全方位助力组织升级。一站式整合即时沟通、日历、音视频会议、文档、云盘等办公协作套件，让组织和个人工作更高效更愉悦。飞书目前已服务包括互联网、信息技术、制造、建筑地产、教育、媒体在内等众多领域的先进企业。

1、参与飞书AI相关的产品规划和设计，结合用户需求与AI技术提出创新方案；
2、推动AI技术在飞书各业务场景和功能模块中的实际应用，提升产品竞争力；
3、参与用户需求调研和数据分析，撰写需求，与研发、设计团队合作推进产品落地；
4、参与飞书内大语言模型驱动的AI智能伙伴的数据评估体系、评测集设计和研发；
5、参与产品效果评估，关注用户反馈和行业进展，推动产品迭代。",bytedance
【暑期实习】平台产品经理-大模型AIGC,"1、本科及以上学历，计算机与人工智能或产品设计等相关专业优先；
2、对人工智能前沿技术如大模型、AIGC等有浓厚兴趣，并有一定的了解；
3、优秀的逻辑分析和数据处理能力，善于从数据中提炼洞见；
4、良好的沟通协调能力，能够有效协调各部门资源，推动项目进展；
5、积极主动，富有创新精神,愿意在AIGC领域探索前沿的应用场景。

加分项：
1、在AIGC、大模型等前沿技术领域有项目实践经验；
2、在知名AI公司或互联网公司有相关实习经历；
3、与技术有一定理解或具备一定的数据分析和建模能力。","1、参与公司大模型与AIGC相关的平台型和用户型项目，包括但不限于语言模型、图像生成、语音合成、视频生成等方向；
2、负责AI产品的需求分析、功能设计、产品规划和迭代优化工作；
3、协助优化公司内部AI类平台或效能工具，提升用户体验和工作效率；与业务方高效沟通、理解和回应业务需求；
4、根据实际情况参与其他与大模型和AIGC相关的产品工作；
5、具体工作内容将根据实际情况和个人特长进行分配和调整。",kuaishou
【北斗】大模型机器学习引擎工程师,"1.具备良好的计算机基础素养和分析解决问题的能力，熟练掌握C++或Python；
2.学习能力强，对机器学习系统优化有技术热情，富有极客精神；
3.熟悉TensorFlow/PyTorch等深度框架代码的优先；
4.熟悉TVM/MLIR等编译优化技术的优先；
5.熟悉GPU、NPU硬件架构，熟练使用CUDA，NCCL，RDMA编程的优先；
6.有分布式系统、高性能计算实际项目经验的优先；
7.有开源项目贡献代码者优先；
8.有在OSDI/SOSP、NIPS、MLSys等会议或期刊中有论文发表者优先。
岗位亮点：
业界前列的算力规模、海量数据和丰富的应用场景，协同算法团队深度参与大模型项目，挑战与机遇并存！","1.面向GPU和高性能网络设计分布式训练架构，通过样本IO优化、计算图编译与执行、多维度并行优化等手段，支持千亿及万亿以上参数模型在上万张GPU集群高效稳定训练
2.通过量化、剪枝、蒸馏等模型压缩方法，在保证精度要求的情况下，实现不同参数规模的模型推理性能优化，构建高性能推理服务
3.通过手工优化方法,对特化模型子结构和硬件设备上实现SOTA性能，面向多种硬件架构实现高性能算子。",meituan
【北斗】大模型算法工程师（业务研发平台）,"1.人工智能、计算机、自动化、数学相关专业优先；
2.扎实的数据结构和算法设计基础，熟练掌握Python/C++中的一种或多种，熟练掌握pytorch、tensorflow等深度学习框架以及分布式训练框架等；
3.有预训练基础技术，包括高效训练和封装部署服务化，NLP、CV、视频、多模态等相关的预训练模型及其下游应用优先；
4.有良好的英文读写能力和扎实的数学基础；
5.在顶级学术会议上发表论文者(一作)，在多模态、计算机视觉或机器学习领域的比赛中获得过优异成绩者优先；
6.责任心强，积极主动，有良好的沟通能力和团队合作能力。
岗位亮点：
1.参与前沿的大型模型技术研究和落地，探索大模型技术在实际业务场景中的应用；
2.公司核心业务，拥有丰富的实践机会，贴近一线大规模业务应用；
3.拥有业界一流的团队，其成员大多来自国内外名校，支持进行前沿技术与业务探索。","方向一：基于大模型的多模态理解与生成
1.探索多模态大模型，在数据建设、指令微调、偏好对齐、模型优化等方面进行多模态基础模型能力建设；
2.设计融合文本、语音、图像等多模态信息的大模型解决方案，优化模型结构；
3.将多模态模型应用于图像/视频的生成创作、视觉/音频理解与生成、逻辑推理等多个领域与业务场景。
方向二：大模型智能体算法研究
1.负责基于大模型的智能体架构构建，实现复杂问题的理解规划、工具执行以及感知反思能力；
2.探索最前沿技术，设计算法迭代飞轮，优化大模型基础模型，高效提升模型效果；
3.负责多智能体架构设计与落地，并应用于本地生活多个业务场景。",meituan
【北斗】大模型推理引擎工程师,"1.熟练掌握CUDA编程、C++编程，数据结构和算法知识
2.熟悉TVM或TensorRT或FastTransformer等推理优化框架
3.熟悉LLM大模型相关背景知识，有相关方向的研究经验和产出
岗位亮点：
1.紧跟人工智能行业进展，接触到前沿技术和行业趋势，磨练出对人工智能的独到见解；
2.参与AI大模型的数据、训练与评测的全流程，了解从理论到工程实践的全面技能；
3.有机会参与公司的创新项目，跨足不同领域，拓宽人工智能技术的应用范围。","1.负责LLM大语言模型的推理优化
2.负责机器学习引擎的编译优化工作
3.负责模型稀疏化和模型量化工作",meituan
【北斗】自动驾驶决策规划算法工程师,"1.计算机，自动化，数学或物理等相关专业毕业；
2.具有丰富的Linux系统开发经验熟知基本算法和算法优化的方法和思路；
3.良好的数据结构和算法基础；熟悉C/C++，Python或者一种编程语言；
4.具有机器人、自动车相关算法开发经验。
具备以下经验者优先：
1.从事过机器人、自动车相关模块的开发；
2.有相关领域顶级期刊或会议论文发表。
岗位亮点：
1.能加入一个高水平研发团队，快速成长。团队成员来自清华、北大、中科院等知名高校。在工作中强调思考，尊重事实和逻辑，是一个能够快速成长的工作环境；
2.能创造社会价值，参与改变未来的技术革新。拥有丰富的业务场景，推动无人车这一前沿技术在各场景下落地。","工作城市可选北京、深圳
1.基于美团配送业务场景，为自动车提供行为决策、运动规划和控制的解决方案；
2.基于机器学习、优化方法的相关模型的建立与实践，改进当前预测、决策、规划、控制的效果；
3.改进优化引擎，帮助优化求解性能不断提升。
主要研究方向：
多模态端到端自动驾驶算法，交互预测决策模型算法，大模型预训练、SFT、Alignment算法技术等。",meituan
【北斗】无人机规划调度算法工程师,"1.计算机、人工智能、自动化、机器人、运筹学等相关专业； 
​2.具备扎实的编程功底，熟练掌握数据结构和算法知识， 熟练掌握C++/C； 
​3.熟悉交通和物流领域运筹优化算法，具备良好的数学建模能力和算法实现能力；
​4.熟悉常见的机器人决策规划算法，具备良好的算法设计能力和实现能力；
​5.熟悉常见的机器学习算法，在多智能体强化学习等方向有研究经验；
​6.在机器人领域或者运筹优化领域顶会和顶刊发表论文者优先；
​7.在自动驾驶/无人机/机器人上进行过相关算法研发的有经验者优先；熟悉ROS等常见机器人系统者优先； 
​8.良好的学习能力，有团队合作意识，自我驱动力强。
岗位亮点：
与经验丰富、行业领先的无人机规划调度团队一起探索在低空场景如何落地人工智能技术，参与指挥规模化无人机运行。","工作城市可选北京、深圳
1.负责无人机智能规划或调度算法研发，系统性处理无人机空中交通问题，以及提升无人机配送运营效率；
​2.负责无人机决策系统的研发设计，提升无人机复杂场景的处理能力，降低运行风险；
​3.负责无人机规划调度系统相关的软件功能开发，提升软件系统的可靠性与安全性。",meituan
【北斗】无人机机器人工程师,"1.机电工程、微机电工程、机器人工程等相关专业；
2.丰富的机器人开发、关节设计、末端执行器设计、机械手、机器人控制、机器人编程和应用经验；
3.对机器人行业标准ISO 10218 和ISO 13482 等有实践经验、并能根据业务需要适配流程和取证；
4.需要有机械设计、控制工程、光电等跨学科综合能力，有光机电软集成的研究项目经历；
5.能够提供示范设计和原理样机以影响团队对新技术的采纳；
6.熟悉ROS Moveit, Gazebo、Fanuc RoboGuide、Siemens Process Simulate 等开源和商业化创建模拟和离线编程工具及高级机器人编程环境，包括DCS。","1.定义并开发机器人关键技术，如关节设计、灵巧机械手、电驱动和传动系统、控制系统、机器视觉、边缘计算等；
2.能够结合生产式人工智能技术探索可商业化的机器人系统并能够开发原理样机验证可行性；
3.负责研发、选择机器人系统 如SCARA、Articulated Roboic Arm、RGV、AMR,、Delta 等；
4.熟悉ROS Moveit, Gazebo、Fanuc RoboGuide等开源和商业化创建模拟和离线编程工具及机器人开发环境；
5.营造我们团队成员的自驱成长思维，推动具有责任感和极端主人翁精神的高绩效团队文化；
6.直接参与概念、设计、架构和研发路线的制定和审查。",meituan
【北斗】无人机系统安全及适航工程师,"1.汽车、航空航天、计算机、机器人工程等相关专业；
2.熟悉IEC61508、ISO26262、SOTIF、ISO 10218或适航等相关标准，能够根据业务需要适配流程和取证；
3.有人因工程学经验优先，能够将人因工程与安全做结合，并提出机器人产品的安全需求；
4.有汽车、航空或机器人安全实现经验，有风险评估和安全策略设计经验；
5.掌握正向安全机制开发能力，具备系统安全目标制定和拆解能力，具备软硬件安全需求提出能力，具备HARA、软硬件FMEA、FMDEA分析能力；
6.有开拓精神，在标准法规体系不够完善的情况下能够自建并推广体系。","1.直接参与无人机适航和机器人安全体系建设；
2.参与先进安全性设计分析预研（例如：具身智能和人机交互频繁的情况下的产品安全性设计和分析方法的研究）；
3.开展安全正向设计分析工作，包括系统安全目标制定及拆解、HARA分析、产品安全架构设计、软硬件安全需求提出、安全策略设计、安全机制设计、FMEDA分析等；
4.结合硬件、算法等局限性，开展预期功能安全评估。",meituan
【北斗】无人机软件工程师,"1. 扎实的CS基础；
2. 必需熟练掌握C/C++，有使用C/C++进行软件系统设计开发经验。如有完整 research prototype system 工程落地经验；
3. 我们希望你有强烈的自驱力、主人翁意识，并始终保持卓越工程的高标准；
4.我们希望你有优秀的问题解决能力、批判性思维和沟通能力。
具备以下优先：
1. 有无人机、机器人、自动驾驶、智能硬件领域经验；
2. 有ROS/ROS2经验；
3. 有AI相关异构加速计算相关经验, 例如 NPU、GPU、DSP。","工作城市可选北京、深圳
1. 参与无人机及相关硬件产品线的设备端软件架构设计，开发设计平台架构软件；
2. 参与设计实现高效可靠的基础架构软件，例如但不限于，IPC, metrics pipeline, diagnostics, hardware abstraction layer等等；
3. 在工程实践中，严格遵循系统化工程代码规范及质量、设计方法及质量、测试设计及质量等方面，并对跨团队输出技术影响力；
4. 时刻关注技术细节，并有敏锐的洞察力和高质量的技术判断力，识别软件架构及整体软件栈中的短板，并通过审慎的权衡定义工程需求，做出工程计划及优先级的定义；
5. 与跨职能团队有效沟通，通过清晰、易扩展、稳定、高性能的架构赋能所有在设备端层面进行软件开发的跨职能团队。",meituan
【北斗】内容推荐算法工程师,"1.对大模型的应用、算法模型原理和分布式训练框架有一定的了解和认识；
2.具备扎实的编程能力，熟悉常见的推荐/搜索/广告系统算法模型，有一定的深度学习算法实现和调优经验；
3.学习能力强，对业界的相关论文和前沿进展保持高度的关注，熟练掌握spark等大数据分布式框架。
岗位亮点：
1.充足的算力资源，可以亲自上手训练能在工业界落地的百亿级别参数大模型；
2.有海量的内容、用户行为等数据可供挖掘，在点评内容化的机遇下，技术价值有极大的发挥空间。","工作城市可选北京、上海
生成式推荐在点评首页推荐场景的探索与落地
1. 负责生成式推荐算法在点评首页推荐场景的探索与落地，提升推荐效果和产品体验；
2. 负责抽取和分析点评用户的行为日志，确保数据质量和准确性，为模型训练和分析提供坚实的基础；
3. 和工程团队紧密合作，参与模型训练、性能优化以及服务部署，解决可能出现的技术问题，推动整个技术方案能够跑通并服务于线上用户；
4. 跟踪行业研究动态，积极探索新的算法模型和优化方法，推动团队的业务发展和技术进步。",meituan
【北斗】算法工程师（大众点评大模型）,"1.熟练掌握深度学习相关开发工具，具有丰富的NLP或NLG相关项目的实践经验，有ChatGPT、LLaMA、MOSS等相关项目的实践开发经验；
2.拥有良好的沟通能力、表达能力，具有良好的自我驱动力、主动性，有创新意识，对前沿技术有敏感性和热情；
3.相关领域内的国际权威期刊/顶会发表过论文者优先如ACL、SIGIR、EMNLP、ICLR等优先；
4.大模型领域知名开源项目主要贡献者优先，如fastchat，deepspeedchat，trlx，megatron等；
5.在重要国际评测上排名靠前者如SQUAD、GLUE等，或者在Kaggle、天池、KDDCUP等知名竞赛中，排名top3者优先。","工作城市可选北京、上海
负责大众点评大模型的研发和应用，通过大语言模型以及多模态大模型等能力为点评各业务场景全面赋能，帮助大家吃的更好，玩的更好。主要工作方向包括：
1.深入参与大模型全链路建设的各个环节，如数据建设，预训练，指令微调，强化学习，偏好对齐等，提高模型的效率、稳定性和可扩展性。
2.究和解决大模型落地中的关键瓶颈问题，如自动化评估方法，RLHF训练稳定性，Reward Hacking，训练和推理效率优化。
3.负责大模型在本地生活内容平台上的落地，打造更智能的生成式能力，借助大模型技术改善产品体验，探究RAG，Agent，long context技术应用。
4.跟踪国内外前沿的大模型技术动态，持续改进和优化现有模型。",meituan
